Time Stamp[Hr:Min:Sec],Action/Vital Name,SubAction Time[Min:Sec],SubAction Name,Score,Old Value,New Value,Username,Speech Command
0:0:4,umich5(speech),,,,,,umich5,"NOMATCH: Speech could not be recognized." 
0:0:8,umich5(speech),,,,,,umich5,"NOMATCH: Speech could not be recognized." 
0:0:19,umich5(speech),,,,,,umich5,"NOMATCH: Speech could not be recognized." 
0:0:23,umich5(speech),,,,,,umich5,"NOMATCH: Speech could not be recognized." 
0:0:30,(1)V-Tach 2D(action),0:30,SYNCHRONIZED Shock 175J,100,,,umich1
0:0:31,(1)V-Tach 2D(action)
0:0:32,intubate_anytime,Warning,Action-Should-Be-Performed,Action-Was-Not-Performed,Error-Triggered,umich1,(1)V-Tach 2D(action),,,,,,,
0:0:32,glucose_anytime,Warning,Action-Should-Be-Performed,Action-Was-Not-Performed,Error-Triggered,umich1,(1)V-Tach 2D(action),,,,,,,
0:0:32,lunglisten_anytime,Warning,Action-Should-Be-Performed,Action-Was-Not-Performed,Error-Triggered,umich1,(1)V-Tach 2D(action),,,,,,,
0:0:32,ultrasound_FAST_anytime,Warning,Action-Should-Be-Performed,Action-Was-Not-Performed,Error-Triggered,umich1,(1)V-Tach 2D(action),,,,,,,
0:0:32,labcheck_anytime,Warning,Action-Should-Be-Performed,Action-Was-Not-Performed,Error-Triggered,umich1,(1)V-Tach 2D(action),,,,,,,
0:0:32,pulse_check,Error,Action-Should-Be-Performed,Action-Was-Not-Performed,Error-Triggered,umich1,(1)V-Tach 2D(action),,,,,,,
0:0:32,HR_Waveform(vital),,,,CR_VTach,CR_VTach
0:0:32,PR_Waveform(vital),,,,O2_PP,O2_PP
0:0:32,RR_Waveform(vital),,,,CO2_CA,CO2_CA
0:0:32,HR(vital),,,,192,205
0:0:32,RR(vital),,,,12,12
0:0:32,PR(vital),,,,--,0
0:0:32,BP(vital),,,,--,0
0:0:32,ETCO2(vital),,,,18,12
0:0:32,Temperature(vital),,,,98,98
0:0:32,EKG,Error,Action-Should-Not-Be-Performed,Action-Was-Not-Performed,Error-Did-Not-Trigger,NA,(1)V-Tach 2D(action),Good CPR saves lives! Don't interrupt CPR for an EKG.,,,,,,
0:0:32,sync_defib_100+,CriticalError,Action-Should-Be-Performed,Action-Was-Performed,Error-Did-Not-Trigger,NA,(1)V-Tach 2D(action),UNstable V.Tach WITH Pulse needs >100J SYNCHRONIZED Shock [UNsync = UNsafe],,,,,,
0:0:32,chest_xray,Error,Action-Should-Not-Be-Performed,Action-Was-Not-Performed,Error-Did-Not-Trigger,NA,(1)V-Tach 2D(action),Good CPR saves lives! Don't interrupt CPR for X-ray. Use stethoscope to assess lungs.,,,,,,
0:0:32,bipap_NIV_anytime,CriticalError,Action-Should-Not-Be-Performed,Action-Was-Not-Performed,Error-Did-Not-Trigger,NA,(1)V-Tach 2D(action),BiPAP/CPAP = contraindicated in unresponsive patients. Consider intubation,,,,,,
0:0:32,chestneedle_thora_anytime,CriticalError,Action-Should-Not-Be-Performed,Action-Was-Not-Performed,Error-Did-Not-Trigger,NA,(1)V-Tach 2D(action),This action is not required in this patient,,,,,,
0:0:32,Amio_or_Lidocaine,Error,Action-Should-Not-Be-Performed,Action-Was-Not-Performed,Error-Did-Not-Trigger,NA,(1)V-Tach 2D(action),Patient is UNconscious = UNstable: Cardioversion is more important than medication,,,,,,
0:0:32,defib<99_sync_or_unsync,Error,Action-Should-Not-Be-Performed,Action-Was-Not-Performed,Error-Did-Not-Trigger,NA,(1)V-Tach 2D(action),Defibrillate Sync Less 100+,,,,,,
0:0:32,unsync_defib_100+,CriticalError,Action-Should-Not-Be-Performed,Action-Was-Not-Performed,Error-Did-Not-Trigger,NA,(1)V-Tach 2D(action),V.Tach WITH pulse =  SYNCHRONIZED Shock V.Tach NO pulse =  UNsynchronized Shock,,,,,,
0:0:32,Epi,Error,Action-Should-Not-Be-Performed,Action-Was-Not-Performed,Error-Did-Not-Trigger,NA,(1)V-Tach 2D(action),Patient is UNconscious = UNstable: Cardioversion is more important than medication,,,,,,
0:0:32,heartneedle_pericard_anytime,CriticalError,Action-Should-Not-Be-Performed,Action-Was-Not-Performed,Error-Did-Not-Trigger,NA,(1)V-Tach 2D(action),This action is not required in this patient,,,,,,
0:0:34,umich5(speech),,,,,,umich5,"NOMATCH: Speech could not be recognized." 
0:0:38,umich5(speech),,,,,,umich5,"NOMATCH: Speech could not be recognized." 
0:0:39,(2)V-Tach 2A.1(action),0:7,Pulse Check,100,,,umich1
0:0:42,HR_Waveform(vital),,,,CR_VTach,CR_SinLike
0:0:42,PR_Waveform(vital),,,,O2_PP,O2_PP
0:0:42,RR_Waveform(vital),,,,CO2_CA,CO2_CPR
0:0:42,HR(vital),,,,204,100
0:0:42,RR(vital),,,,11,12
0:0:42,PR(vital),,,,--,0
0:0:42,BP(vital),,,,--,0
0:0:42,ETCO2(vital),,,,11,18
0:0:42,Temperature(vital),,,,97,98
0:0:42,(2)V-Tach 2A.1(action),0:10,Begin CPR,100,,,umich1
0:0:42,HR_Waveform(vital),,,,CR_SinLike,CR_VTach
0:0:42,PR_Waveform(vital),,,,O2_PP,O2_PP
0:0:42,RR_Waveform(vital),,,,CO2_CPR,CO2_CA
0:0:42,HR(vital),,,,204,205
0:0:42,RR(vital),,,,12,12
0:0:42,PR(vital),,,,0,0
0:0:42,BP(vital),,,,0,0
0:0:42,ETCO2(vital),,,,13,12
0:0:42,Temperature(vital),,,,98,98
0:0:42,(2)V-Tach 2A.1(action),0:10,Stop CPR,100,,,umich1
0:0:44,HR_Waveform(vital),,,,CR_VTach,CR_SinLike
0:0:44,PR_Waveform(vital),,,,O2_PP,O2_PP
0:0:44,RR_Waveform(vital),,,,CO2_CA,CO2_CPR
0:0:44,HR(vital),,,,204,100
0:0:44,RR(vital),,,,12,12
0:0:44,PR(vital),,,,0,0
0:0:44,BP(vital),,,,0,0
0:0:44,ETCO2(vital),,,,12,18
0:0:44,Temperature(vital),,,,98,98
0:0:44,(2)V-Tach 2A.1(action),0:12,Enter CPR,100,,,umich1
0:0:45,HR_Waveform(vital),,,,CR_SinLike,CR_VTach
0:0:45,PR_Waveform(vital),,,,O2_PP,O2_PP
0:0:45,RR_Waveform(vital),,,,CO2_CPR,CO2_CA
0:0:45,HR(vital),,,,204,205
0:0:45,RR(vital),,,,12,12
0:0:45,PR(vital),,,,0,0
0:0:45,BP(vital),,,,0,0
0:0:45,ETCO2(vital),,,,12,12
0:0:45,Temperature(vital),,,,98,98
0:0:45,(2)V-Tach 2A.1(action),0:13,Stop CPR,100,,,umich1
0:0:45,HR_Waveform(vital),,,,CR_VTach,CR_SinLike
0:0:45,PR_Waveform(vital),,,,O2_PP,O2_PP
0:0:45,RR_Waveform(vital),,,,CO2_CA,CO2_CPR
0:0:45,HR(vital),,,,204,100
0:0:45,RR(vital),,,,12,12
0:0:45,PR(vital),,,,0,0
0:0:45,BP(vital),,,,0,0
0:0:45,ETCO2(vital),,,,12,18
0:0:45,Temperature(vital),,,,98,98
0:0:45,(2)V-Tach 2A.1(action),0:13,Enter CPR,100,,,umich1
0:0:45,HR_Waveform(vital),,,,CR_SinLike,CR_VTach
0:0:45,PR_Waveform(vital),,,,O2_PP,O2_PP
0:0:45,RR_Waveform(vital),,,,CO2_CPR,CO2_CA
0:0:45,HR(vital),,,,203,205
0:0:45,RR(vital),,,,12,12
0:0:45,PR(vital),,,,0,0
0:0:45,BP(vital),,,,0,0
0:0:45,ETCO2(vital),,,,12,12
0:0:45,Temperature(vital),,,,98,98
0:0:45,(2)V-Tach 2A.1(action),0:13,Stop CPR,100,,,umich1
0:0:45,HR_Waveform(vital),,,,CR_VTach,CR_SinLike
0:0:45,PR_Waveform(vital),,,,O2_PP,O2_PP
0:0:45,RR_Waveform(vital),,,,CO2_CA,CO2_CPR
0:0:45,HR(vital),,,,203,100
0:0:45,RR(vital),,,,12,12
0:0:45,PR(vital),,,,0,0
0:0:45,BP(vital),,,,0,0
0:0:45,ETCO2(vital),,,,12,18
0:0:45,Temperature(vital),,,,98,98
0:0:45,(2)V-Tach 2A.1(action),0:13,Enter CPR,100,,,umich1
0:0:45,HR_Waveform(vital),,,,CR_SinLike,CR_VTach
0:0:45,PR_Waveform(vital),,,,O2_PP,O2_PP
0:0:45,RR_Waveform(vital),,,,CO2_CPR,CO2_CA
0:0:45,HR(vital),,,,203,205
0:0:45,RR(vital),,,,12,12
0:0:45,PR(vital),,,,0,0
0:0:45,BP(vital),,,,0,0
0:0:45,ETCO2(vital),,,,12,12
0:0:45,Temperature(vital),,,,98,98
0:0:45,(2)V-Tach 2A.1(action),0:13,Stop CPR,100,,,umich1
0:0:46,HR_Waveform(vital),,,,CR_VTach,CR_SinLike
